Q W E R T Y X X X X X Y X X X X T Q W E R
X X Q W E R T Y X X X X X Q W E R T Y X X
X Q W E R T Y Z X C V V X A S D F G H J K
Q W E R T Y X X X X X Y X X X X T Q W E R
X X Q W E R T Y X X X X X Q W E R T Y X X
X Q W E R T Y Z X C V V X A S D F G H J K
Q W E R T Y X X X X X Y X X X X T Q W E R
X X Q W E R T Y X X X X X Q W E R T Y X X
X Q W E R T Y Z X C V V X A S D F G H J K
Q W E R T Y X X X X X Y X X X X T Q W E R
X X Q W E R T Y X X X X X Q W E R T Y X X
X Q W E R T Y Z X C V V X A S D F G H J K
Q W E R T Y X X X X X Y X X X X T Q W E R
X X Q W E R T Y X X X X X Q W E R T Y X X
X Q W E R T Y Z X C V V X A S D F G H J K
Q W E R T Y X X X X X Y X X X X T Q W E R
X X Q W E R T Y X X X X X Q W E R T Y X X
X Q W E R T Y Z X C V V X A S D F G H J K
Q W E R T Y X X X X X Y X X X X T Q W E R
X X Q W E R T Y X X X X X Q W E R T Y X X
X Q W E R T Y Z X C V V X A S D F G H J K
